snapshotAt,dataset,bmUnit,nationalGridBmUnit,time,value,settlementDate,settlementPeriod
2023-01-11T00:00Z,SEL,T_PEMB-41,PEMB-41,2022-05-29T08:55:00Z,219,2022-05-29,20
2023-07-12T00:00Z,MNZT,T_PEMB-41,PEMB-41,2023-07-08T15:58:00Z,360,2023-07-08,34
2023-07-12T00:00Z,NDZ,T_PEMB-41,PEMB-41,2023-07-08T15:58:00Z,60,2023-07-08,34
2023-07-12T00:00Z,MZT,T_PEMB-41,PEMB-41,2023-02-02T12:13:00Z,360,2023-02-02,25
2023-07-12T00:00Z,NTB,T_PEMB-41,PEMB-41,2023-02-02T12:13:00Z,2,2023-02-02,25
2023-07-12T00:00Z,NTO,T_PEMB-41,PEMB-41,2023-02-02T12:13:00Z,2,2023-02-02,25
2023-07-12T00:00Z,SEL,T_PEMB-41,PEMB-41,2023-02-02T12:13:00Z,219,2023-02-02,25
2023-01-11T00:00Z,MNZT,T_PEMB-11,PEMB-11,2023-01-10T20:51:00Z,360,2023-01-10,42
2023-01-11T00:00Z,NDZ,T_PEMB-11,PEMB-11,2023-01-10T20:51:00Z,60,2023-01-10,42
2023-01-11T00:00Z,MZT,T_PEMB-11,PEMB-11,2021-11-11T15:58:00Z,360,2021-11-11,32
2023-01-11T00:00Z,NTB,T_PEMB-11,PEMB-11,2021-11-11T15:58:00Z,2,2021-11-11,32
2023-01-11T00:00Z,NTO,T_PEMB-11,PEMB-11,2021-11-11T15:58:00Z,2,2021-11-11,32
2023-01-11T00:00Z,SEL,T_PEMB-11,PEMB-11,2021-11-11T15:58:00Z,219,2021-11-11,32
2023-07-12T00:00Z,MNZT,T_PEMB-11,PEMB-11,2023-07-08T15:40:00Z,360,2023-07-08,34
2023-07-12T00:00Z,NDZ,T_PEMB-11,PEMB-11,2023-07-08T15:40:00Z,60,2023-07-08,34
2023-07-12T00:00Z,MZT,T_PEMB-11,PEMB-11,2023-02-08T14:43:00Z,360,2023-02-08,30
2023-07-12T00:00Z,NTB,T_PEMB-11,PEMB-11,2023-02-08T14:43:00Z,2,2023-02-08,30
2023-07-12T00:00Z,NTO,T_PEMB-11,PEMB-11,2023-02-08T14:43:00Z,2,2023-02-08,30
2023-07-12T00:00Z,SEL,T_PEMB-11,PEMB-11,2023-02-08T14:43:00Z,219,2023-02-08,30
2023-01-11T00:00Z,MNZT,T_STAY-1,STAY-1,2023-01-09T01:25:00Z,360,2023-01-09,3
2023-01-11T00:00Z,NDZ,T_STAY-1,STAY-1,2023-01-09T01:25:00Z,85,2023-01-09,3
2023-01-11T00:00Z,MZT,T_STAY-1,STAY-1,2022-11-03T09:28:00Z,360,2022-11-03,19
2023-01-11T00:00Z,NTB,T_STAY-1,STAY-1,2022-11-03T09:28:00Z,2,2022-11-03,19
2023-01-11T00:00Z,NTO,T_STAY-1,STAY-1,2022-11-03T09:28:00Z,2,2022-11-03,19
2023-01-11T00:00Z,SEL,T_STAY-1,STAY-1,2022-11-03T09:28:00Z,195,2022-11-03,19
2023-07-12T00:00Z,MZT,T_STAY-1,STAY-1,2023-07-11T22:18:00Z,360,2023-07-11,47
2023-07-12T00:00Z,NTB,T_STAY-1,STAY-1,2023-07-11T22:18:00Z,2,2023-07-11,47
2023-07-12T00:00Z,NTO,T_STAY-1,STAY-1,2023-07-11T22:18:00Z,2,2023-07-11,47
2023-07-12T00:00Z,SEL,T_STAY-1,STAY-1,2023-07-11T22:18:00Z,195,2023-07-11,47
2023-07-12T00:00Z,MNZT,T_STAY-1,STAY-1,2023-07-10T14:28:00Z,360,2023-07-10,31
2023-07-12T00:00Z,NDZ,T_STAY-1,STAY-1,2023-07-10T14:28:00Z,58,2023-07-10,31
2023-01-11T00:00Z,MNZT,T_STAY-3,STAY-3,2023-01-09T01:26:00Z,360,2023-01-09,3
2023-01-11T00:00Z,NDZ,T_STAY-3,STAY-3,2023-01-09T01:26:00Z,85,2023-01-09,3
2023-01-11T00:00Z,MZT,T_STAY-3,STAY-3,2022-10-04T16:20:00Z,360,2022-10-04,35
2023-01-11T00:00Z,NTB,T_STAY-3,STAY-3,2022-10-04T16:20:00Z,2,2022-10-04,35
2023-01-11T00:00Z,NTO,T_STAY-3,STAY-3,2022-10-04T16:20:00Z,2,2022-10-04,35
2023-01-11T00:00Z,SEL,T_STAY-3,STAY-3,2022-10-04T16:20:00Z,195,2022-10-04,35
2023-07-12T00:00Z,MZT,T_STAY-3,STAY-3,2023-07-11T22:19:00Z,360,2023-07-11,47
2023-07-12T00:00Z,NTB,T_STAY-3,STAY-3,2023-07-11T22:19:00Z,2,2023-07-11,47
2023-07-12T00:00Z,NTO,T_STAY-3,STAY-3,2023-07-11T22:19:00Z,2,2023-07-11,47
2023-07-12T00:00Z,SEL,T_STAY-3,STAY-3,2023-07-11T22:19:00Z,195,2023-07-11,47
2023-07-12T00:00Z,MNZT,T_STAY-3,STAY-3,2023-07-08T19:13:00Z,360,2023-07-08,41
2023-07-12T00:00Z,NDZ,T_STAY-3,STAY-3,2023-07-08T19:13:00Z,58,2023-07-08,41
