name,carrier,included_internal_coordinate
Tullo_Wind_Farm_North_Extension_Shiels_Wind_Farm,wind_onshore,True
Easter_Melrose_Wind_Energy_Project,wind_onshore,True
Newton_Marsh_Wind_Project,wind_onshore,True
North_Pickenham_Airfield,wind_onshore,True
Wythegill_Wind_Turbine,wind_onshore,True
Roos_Wind_Farm_Resubmission,wind_onshore,True
Backhill_of_Yonderton_Wind_Cluster,wind_onshore,True
Spurness_Wind_Farm_Repowering,wind_onshore,True
St_Johns_Wells_Wind_Cluster_Extension,wind_onshore,True
GlaxoSmithKline_Wind_Project,wind_onshore,True
K_L_Technologies_Wind_Turbine,wind_onshore,True
Ardoch_and_Over_Enoch_Wind_Farm_Over_Enoch,wind_onshore,True
Ystgellog_Farm_Wind_Farm_,wind_onshore,True
NEILSTON_WIND_FARM,wind_onshore,True
Greencroft_Estate_Turbines,wind_onshore,True
Crossness_Sewage_Works_Turbine,wind_onshore,True
Muirhall_Extension,wind_onshore,True
Freasdail_Wind_Farm,wind_onshore,True
Nash_Waste_Water_Treatment_Works_Turbine,wind_onshore,True
Marston_Vale_Country_Park_Wind_Turbine,wind_onshore,True
Energy_Works_Hull___Wind_Turbine,wind_onshore,True
Mynydd_Y_Gwrhyd_Windfarm,wind_onshore,True
Severn_Trent_Water___Stoke_Bardolph_Wind_Turbine,wind_onshore,True
Barns_of_Ayre_Wind_Turbines_2,wind_onshore,True
Newton_Down,wind_onshore,True
North_Steads_Wind_Farm_,wind_onshore,True
Hill_of_Tillymorgan_Kirkton_Farm_Wind_turbines_,wind_onshore,True
LADEHEAD_FARM___WIND_TURBINES,wind_onshore,True
Garlenick_Estate_2___Wind_Turbines,wind_onshore,True
Goonabarn_Farm_Wind_Turbines,wind_onshore,True
Bloodhills___repowering,wind_onshore,True
Ardoch_and_Over_Enoch_Wind_Farm_Ardoch,wind_onshore,True
Avonmouth_Port_II,wind_onshore,True
Tween_Bridge_Windfarm,wind_onshore,True
Mynydd_Portref,wind_onshore,True
Fforch_Nest_Wind_Farm_pt2,wind_onshore,True
Wadlow_Wind_Farm,wind_onshore,True
Bradwell_Wind_Farm_Repower,wind_onshore,True
Hazlehead,wind_onshore,True
Kiln_Pit_Hill_Windfarm,wind_onshore,True
Otterham_Down_Wind_Farm,wind_onshore,True
Sixpenny_Wood_Windfarm,wind_onshore,True
Earl's_Hall,wind_onshore,True
Mawdesley_Moss,wind_onshore,True
Chelveston_Renewable_Energy_Park_Wind_Farm_East_Northamptonshire,wind_onshore,True
Bewick_Drift,wind_onshore,True
Hall_Farm_Routh,wind_onshore,True
Rothes_Wind_Farm_Extension_II,wind_onshore,True
Fforch_Nest_Wind_Farm_pt1,wind_onshore,True
Hampole_Wind_Farm,wind_onshore,True
Blackstone_Edge,wind_onshore,True
Marr_Windfarm,wind_onshore,True
Nissan_Motors_Plant_Extn,wind_onshore,True
Hill_of_Fiddes,wind_onshore,True
Cotton_Farm,wind_onshore,True
Land_at_Flimby_Hall_Farm_,wind_onshore,True
Carland_Cross_Wind_Farm_Repowering,wind_onshore,True
Yelvertoft_Wind_Farm,wind_onshore,True
Mains_of_Hatton,wind_onshore,True
Whitelee_Windfarm_Extension_Phase_1,wind_onshore,True
Tilbury_Docks,wind_onshore,True
Seamer_Windfarm___Stockton_on_Tees,wind_onshore,True
South_Sharpley_Wind_Farm_Revised,wind_onshore,True
Armistead_Wind_Farm,wind_onshore,True
Withernwick,wind_onshore,True
Loch_Sminig_Wind_Project,wind_onshore,True
Burton_Pidsea_Wadworth_Hill_Wind_Farm,wind_onshore,True
Camster,wind_onshore,True
Bu_Farm,wind_onshore,True
Drumderg,wind_onshore,True
Clyde_Wind_Farm,wind_onshore,True
Novar_Wind_Farm_Extension,wind_onshore,True
Hill_of_Towie_Drummuir,wind_onshore,True
Ewe_Hill,wind_onshore,True
Middlemoor,wind_onshore,True
Baillie_Wind_Farm,wind_onshore,True
Braich_Ddu,wind_onshore,True
Drone_Hill,wind_onshore,True
Tangy_Wind_Farm_Extension/Tangy_2,wind_onshore,True
Ray_Wind_Farm,wind_onshore,True
Calliachar,wind_onshore,True
Griffin_Wind_farm,wind_onshore,True
High_Pow_Farm_,wind_onshore,True
St._Johns_Hill,wind_onshore,True
Blackcraig,wind_onshore,True
Fullabrook_Down_Wind_Farm,wind_onshore,True
Little_Raith_Farm,wind_onshore,True
Pant_y_wal,wind_onshore,True
Green_Rigg,wind_onshore,True
Rosehall_Hill_Forest_Windfarm,wind_onshore,True
Bankend_Rig,wind_onshore,True
Hill_of_Easterton_Extension,wind_onshore,True
