settlementPeriod,T_ABRBO-1,T_ACHRW-1,T_AFTOW-1,T_AKGLW-2,T_AKGLW-3,T_ANSUW-1,T_ARCHW-1,T_BDCHW-1,T_BEATO-1,T_BEATO-2,T_BEATO-3,T_BEATO-4,T_BEINW-1,T_BHLAW-1,T_BLKWW-1,T_BLLA-1,T_BLLA-2,T_BOWLW-1,T_BPGRD-1,T_BRBEO-1,T_CARR-1,T_CARR-2,T_CASKD-1,T_CDCL-1,T_CGTHW-1,T_CLDCW-1,T_CLDNW-1,T_CLDSW-1,T_CNQPS-1,T_CNQPS-2,T_CNQPS-3,T_CNQPS-4,T_COSO-1,T_COUWW-1,T_CREAW-1,T_CRGHD-1,T_CRGHW-1,T_CRYRW-2,T_CRYRW-3,T_DALQW-1,T_DAMC-1,T_DDGNO-1,T_DDGNO-2,T_DDGNO-3,T_DDGNO-4,T_DIDCB5,T_DIDCB6,T_DINO-1,T_DINO-2,T_DINO-3,T_DINO-4,T_DINO-5,T_DINO-6,T_DNLWW-1,T_DOREW-1,T_DOREW-2,T_DOUGW-1,T_DRAXX-1,T_DRAXX-10G,T_DRAXX-12G,T_DRAXX-2,T_DRAXX-3,T_DRAXX-4,T_DRAXX-5,T_DRAXX-6,T_DRAXX-9G,T_DRSLW-1,T_DUNGW-1,T_EAAO-1,T_EAAO-2,T_EDINW-1,T_EECL-1,T_ERRO-1,T_ERRO-2,T_ERRO-3,T_EWHLW-1,T_FALGW-1,T_FASN-1,T_FASN-2,T_FFES-1,T_FFES-2,T_FFES-3,T_FFES-4,T_FINL-1,T_FOYE-1,T_FOYE-2,T_FOYED-1,T_FSDLW-1,T_GANW-11,T_GANW-13,T_GANW-22,T_GANW-24,T_GLNDO-1,T_GLWSW-1,T_GNAPW-1,T_GNFSW-1,T_GNFSW-2,T_GORDW-1,T_GORDW-2,T_GRAI-6,T_GRAI-7,T_GRAI-8,T_GRAI1G,T_GRAI4G,T_GRGBW-1,T_GRGBW-2,T_GRGBW-3,T_GRIFW-1,T_GRIFW-2,T_GYMR-15,T_GYMR-17,T_GYMR-26,T_GYMR-28,T_GYMRD-16,T_GYMRD-2,T_GYMRD-E10,T_GYMRD-E11,T_GYMRD-W10,T_GYMRD-W11,T_HADHW-1,T_HALSW-1,T_HEYM11,T_HEYM12,T_HEYM2-D,T_HEYM27,T_HEYM28,T_HMGTO-1,T_HMGTO-2,T_HOWAO-1,T_HOWAO-2,T_HOWAO-3,T_HOWBO-1,T_HOWBO-2,T_HOWBO-3,T_HRSTW-1,T_HRTL-1,T_HRTL-2,T_HUMR-1,T_HUMRD-1,T_INDQ-1,T_JGPR-1,T_KEAD-1,T_KEAD-2,T_KEADGT-3,T_KENNW-1,T_KILBW-1,T_KILLPG-1,T_KILLPG-2,T_KLGLW-1,T_KPMRW-1,T_KTHLW-1,T_KYPEW-1,T_LAGA-1,T_LARKS-1,T_LARYW-1,T_LARYW-2,T_LARYW-3,T_LARYW-4,T_LBAR-1,T_LBAR-1G,T_LNCSW-1,T_LNCSW-2,T_MEDP-1,T_MIDMW-1,T_MILWW-1,T_MKHLW-1,T_MOWEO-1,T_MOWEO-2,T_MOWEO-3,T_MRWD-1,T_MYGPW-1,T_NANT-1,T_OMNDW-1,T_PEHE-1,T_PEMB-11,T_PEMB-21,T_PEMB-31,T_PEMB-41,T_PEMB-51,T_PNYCB-1,T_PNYCW-1,T_RCBKO-1,T_RCBKO-2,T_RMPNO-1,T_RMPNO-2,T_ROCK-1,T_RREW-1,T_RRWW-1,T_RYHPS-1,T_SAKNW-1,T_SANQW-1,T_SCCL-1,T_SCCL-2,T_SCCL-3,T_SCCL-4,T_SEAB-1,T_SEAB-2,T_SEEL-1,T_SGRWO-1,T_SGRWO-2,T_SGRWO-3,T_SGRWO-4,T_SGRWO-5,T_SGRWO-6,T_SHBA-1,T_SHBA-2,T_SHRSW-1,T_SHRSW-2,T_SIZB-1,T_SIZB-2,T_SLOY-2,T_SLOY-3,T_SOKYW-1,T_SPLN-1,T_STAY-1,T_STAY-2,T_STAY-3,T_STAY-4,T_STLGW-1,T_STLGW-2,T_STLGW-3,T_STRNW-1,T_SUTB-1,T_SVRP-10,T_SVRP-20,T_TDBNW-1,T_THNTO-1,T_THNTO-2,T_TKNEW-1,T_TKNWW-1,T_TORN-1,T_TORN-2,T_TORN-D,T_TSREP-1,T_TWSHW-1,T_USKM-13,T_WBUGT-1,T_WBUGT-4,T_WBUPS-1,T_WBUPS-2,T_WBUPS-3,T_WBUPS-4,T_WBURB-1,T_WBURB-2,T_WBURB-3,T_WBURB-41,T_WBURB-43,T_WDNSO-1,T_WDNSO-2,T_WDRGW-1,T_WHIHW-1,T_WHILW-1,T_WHILW-2,T_WILCT-1,T_WISTW-2,T_WLNYO-2,T_WLNYO-3,T_WLNYO-4,T_WLNYW-1,T_WTMSO-1
22,42.82,9.966,29.44,61.74,78.504,7.206,6.196,-0.158,115.818,123.946,165.016,165.122,44.468,-0.478,48.53,51.64,41.896,74.36,-66.702,222.63,-1,-0.4,18.26,-3.06,47.574,144.28,147.816,113.3,-4.536,-4.788,-4.158,0,-2.522,20.202,13.488,-0.01,28.572,133.47,9.05,26.604,-1.43,102.818,86.118,98.442,95.712,-2.6,-2.1,-1.5,-0.2,-0.5,0,-5.1,-0.3,19.574,9.96,9.92,34.694,0,0,0,617.94,469.22,484.364,0,0,0,55.188,78.106,315.026,338.166,30.44,-0.72,0,0,0,33.684,133.72,7.13,7.234,-0.042,-0.042,-1.6,-0.04,16.338,0,0,-0.144,18.252,85.644,85.54,85.9,86.38,-0.042,55.124,0,97.54,53,46.158,1,-0.6,0,-2.7,0,0,144.236,138.526,146.192,9.974,10.004,136.68,141.88,141.74,138.38,-0.002,0,0,-0.006,0,-0.006,61.42,-0.234,501.448,399.424,-53.688,649.84,559.352,106.834,106.796,398.332,393.42,396.052,395.268,438.646,425.784,55.124,585.936,585.712,489.6,-51.45,-2.25,3.75,-4.14,-0.76,-0.16,35.43,45.242,-1.056,-0.632,134.432,76.654,3.37,3.534,-1.6,0,141.76,133.94,152.74,163.9,-6.88,6.88,126.264,136.976,-4.154,48.634,28.62,18.494,-1.128,293.02,188.458,-4.8,12.898,0,93.59,0,-1,-0.6,-0.6,-0.6,-0.6,-0.01,193.93,275.438,265.126,195.864,197.342,-2.2,71.44,89.262,-1.728,36.906,24.594,304.6,318.6,-0.8,-59.78,-4.132,-1.77,-0.262,0,0,58.368,0,49.212,98.254,-3.018,-1.564,141.388,150.636,602.78,600.34,0,0,10.674,-2.6,-0.8,154.2,-1.5,-0.7,70.096,68.78,56.124,-0.29,-0.4,-0.7,-0.4,26.116,121.2,121.2,406.412,408.716,631.768,0,-33.504,-1.864,27.138,0,0,0,0,0,0,0,149.186,220.1,90.452,0.094,0.088,186.128,186.828,41.384,20.92,274.408,155.36,2.82,58.462,173.388,299.988,328.994,159.3,205.622
23,53.62,10.252,30.36,61,74.502,5.698,6.116,-0.158,115.804,124.008,165.118,165.156,55.532,-0.804,49.84,51.6,44.396,73.314,-66.982,222.67,-1.2,-0.6,19.02,-2.88,52.342,148.48,152.498,114,-4.662,-4.662,-4.032,0,-1.974,20.14,12.056,-0.008,31.224,133.046,9.054,26.102,-1.41,102.826,86.122,98.428,95.72,-2.7,-2.1,-1.4,-0.3,-0.5,0,-5.1,-0.2,17.378,9.92,9.934,33.972,0,0,0,617.92,589.8,505.754,0,0,0,51.074,76.486,314.948,338.206,29.7,-0.864,0,0,0,34.184,117.14,7.118,7.224,-0.022,-0.022,-1.6,-0.02,16.32,0,0,-0.15,20.036,85.646,85.36,85.92,86.68,-0.042,55.132,0,96.22,55.4,45.116,1.002,-0.7,0,-2.4,0,0,143.918,138.356,146.19,9.972,10,136.68,141.9,141.8,138.5,-0.002,0,0,-0.004,0,-0.006,61.7,-0.24,502.4,399.28,-53.896,651.92,559.472,106.894,106.796,398.412,393.44,396.112,391.736,438.53,425.49,62.17,586.36,586.232,474.8,-51.554,-2.24,4.204,-4.04,-0.774,-0.16,34.38,47.688,-1.058,-0.636,131.086,79.552,3.032,3.592,-1.6,0,141.74,133.94,152.72,163.7,-6.04,2.64,126.188,136.978,-4.208,47.708,35.02,15.09,-1.118,285.06,203.618,-5,16.292,0,93.62,0,-0.9,-0.7,-0.7,-0.5,-0.7,-0.03,191.3,275.358,265.008,195.972,197.39,-2.2,71.482,89.272,-1.672,38.496,25.292,304.4,310,-0.6,-59.76,-3.412,-1.704,-0.266,0,0,58.384,0,49.226,98.24,-2.982,-1.562,141.362,150.696,602.5,600.52,0,0,11.736,-2.8,-0.8,-2.6,-1.6,-0.6,67.85,68.742,57.148,-0.286,-0.4,-0.7,-0.4,25.784,111.3,111.3,405.752,408.776,633.088,0,-33.4,-1.834,26.046,0,0,0,0,0,0,0,149.346,219.92,-10.018,-1.286,-1.682,184.328,184.508,40.488,21.466,274.158,164.42,0.53,59.198,173.34,299.988,328.874,159.3,205.662
24,37.9,24.302,28.634,61.02,75.342,7.368,7.196,-0.154,115.834,123.934,164.924,165.128,51.41,-0.82,51.114,69.438,47.388,72.684,-66.404,222.59,-1,-1,18.7,-3.06,54.392,144.42,156.868,108.94,-4.536,-4.788,-4.158,0,-1.972,20.208,14.306,-0.008,35.588,132.212,9.048,26.362,-1.39,102.866,86.142,98.408,95.714,-2.6,-2,-1.5,-0.2,-0.5,0,-5.1,-4.7,18.254,9.92,9.914,37.31,0,0,0,610.8,560.98,508.382,0,0,0,52.184,80.528,315.168,338.046,24.02,-0.866,0,0,0,32.258,136.18,7.132,7.236,-0.042,-0.042,-1.6,-0.04,16.342,0,0,-0.148,20.256,85.666,85.72,85.8,86.48,-0.042,55.138,0,92.72,49.78,32.772,1.002,-0.7,0,-2.3,0,0,144.176,138.402,146.162,9.972,10.002,136.66,141.12,141.82,138.3,-0.002,0,0,-0.006,0,-0.006,67,-0.238,502.832,399.576,-53.52,649.512,559.344,106.894,106.796,398.412,393.42,396.112,393.982,438.584,425.712,63.038,586.32,585.64,483.4,-51.386,-2.25,4.504,-4.04,-0.788,-0.16,31.16,51.606,-1.062,-0.642,128.678,79.93,3.504,3.576,-1.4,0,141.6,133.72,152.66,163.82,-4.72,-0.08,126.216,136.994,-4.268,49.042,41.62,17.032,-1.114,292.76,270.118,-4.6,17.066,0,93.59,0,-1,-0.6,-0.7,-0.6,-0.7,0.05,201.57,275.058,265.088,195.898,197.494,-2.2,71.4,88.208,-1.65,46.964,27.926,304.6,304.1,-0.8,-59.58,-3.386,-1.634,-0.268,0,0,58.398,0,49.198,98.228,-2.994,-1.556,141.38,150.66,602.4,600.54,0,0,9.682,-2.7,-0.8,-1.7,-1.5,-0.7,56.664,58.038,41.512,-0.284,-0.4,-0.6,-0.4,25.912,116.9,116.9,404.452,408.596,631.384,0,-33.184,-1.834,29.952,0,0,0,0,0,0,0,149.396,219.96,-9.174,-0.776,-0.826,184.548,184.608,40.77,24.528,284.66,164.7,4.56,57.848,173.362,297.106,329.054,159.34,205.742
25,63.52,13.122,26.16,59.66,73.008,9.372,8.116,-0.158,115.836,123.988,164.414,165.092,63.85,-0.836,47.284,75.904,49.532,74.348,-67.184,222.63,-1,-1.2,17.82,-2.88,53.648,155.04,161.188,111.24,-4.536,-4.788,-4.158,0,-1.972,20.198,14.524,-0.008,13.536,131.03,9.21,28.368,-1.29,102.828,86.142,98.432,95.708,-2.6,-2,-1.5,-0.2,-0.5,0,213.5,50.7,15.03,9.92,9.93,37.802,0,0,0,628.1,640,548.832,0,0,0,44.81,80.046,315.048,338.246,18.4,-0.72,0,0,0,31.796,139.26,7.138,7.242,-0.042,-0.022,-1.6,-0.02,16.356,0,68.6,-0.382,19.918,85.606,85.44,86.04,80.34,-0.042,55.148,0,98.04,53.14,31.762,1.002,-0.6,0,-2.4,0,0,143.906,138.456,146.208,9.972,10.002,136.54,139.5,141.72,138.4,-0.002,0,0,-0.006,0,-0.006,76.48,-0.244,502.648,399.448,-53.376,645.848,557.432,106.914,108.356,398.352,393.46,396.112,399.15,438.676,425.626,79.446,586.32,586.472,649.8,-50.736,-2.24,4.912,-4.24,-0.77,-0.16,34.47,56.324,-1.078,-0.646,155.844,77.99,2.964,3.578,-1.4,0,141.66,133.58,152.46,163.66,-2.8,-0.1,126.172,136.95,-4.176,49.86,44.86,14.562,-1.114,292.98,277.278,-4.6,19.092,0,93.6,0,-0.9,-0.6,-1.9,-0.5,-0.6,0.08,195.29,275.398,265.148,195.946,197.3,-2.2,70.892,89.178,-1.582,43.996,28.882,304.5,347.2,-0.7,-60.26,-3.382,-1.638,-0.274,0,0,58.356,0,49.216,98.21,-2.972,-1.558,141.39,150.672,602.6,600.78,0,0,9.962,-2.6,-0.7,-1.7,-1.5,-0.7,65.404,63.854,45.092,-0.296,-0.4,-0.7,-0.4,25.722,118.6,118.6,406.452,408.496,631.28,0,-33.088,-1.854,31.624,0,0,0,0,0,0,0,173.002,300.06,-9.372,-0.342,-0.63,185.428,184.628,37.098,24.95,284.926,166.3,9.93,53.646,173.282,299.928,328.814,159.32,205.622
26,68.54,22.132,24.554,59.4,73.41,8.336,11.276,-0.16,115.878,124.024,156.426,163.502,54.246,-0.85,37.788,65.222,50.452,74.356,-67.27,222.61,-1,-1.4,18.48,-2.88,54.894,163.02,161.624,110.08,-4.914,-4.662,-4.032,0,-2.072,20.244,12.76,-0.01,30.16,132.588,11.652,28.08,-1.31,102.826,86.1,98.396,95.728,-2.6,-2,-1.4,-0.3,-0.5,0,236.4,-4.2,17.094,9.92,9.924,37.706,0,0,0,642.06,644.96,542.958,0,0,0,52.22,80.546,314.966,338.148,16.32,-0.864,0,0,0,32.596,142.24,7.142,7.248,-0.022,-0.042,-1.62,-0.04,16.368,0,147.9,-0.61,20.336,85.628,85.66,85.88,80.26,-0.042,55.132,0,99.84,56.4,19.4,1.002,-0.7,0,-2.3,0,0,144.174,138.44,146.14,9.968,10,136.58,138.34,141.7,138.34,-0.002,0,0,-0.006,0,-0.004,91.8,-0.244,502.952,399.672,-53.328,645.752,558.672,106.874,109.096,398.394,393.5,396.072,399.532,438.524,425.664,64.39,586.688,585.8,693.8,-49.318,-2.22,4.664,-4.13,-0.778,-0.17,36.14,60.872,-1.092,-0.648,197.546,78.112,3.442,3.586,-1.6,0,141.68,133.82,152.8,163.88,-2.6,-0.1,123.666,135.608,-4.096,49.47,48.54,22.86,-1.112,290.8,272.558,-4.6,18.91,0,93.6,0,-1,-0.6,-2.4,-0.5,-0.7,0.13,183.59,275.338,265.086,195.976,197.364,-2.4,69.796,89.034,-1.532,44.02,29.752,322.8,364.6,-0.7,-60.16,-3.362,-1.636,-0.264,0,0,58.412,0,49.212,98.252,-3.898,-1.532,141.354,150.652,602.92,600.86,0,0,9.514,-2.6,-0.8,-1.7,-1.6,-0.6,70.562,72.764,63.77,-0.302,-0.6,-0.8,-0.4,25.96,129.9,129.9,406.472,408.976,631,0,-33.08,-1.852,31.254,0,0,0,0,0,0,0,271.476,384.48,-9.66,-0.316,0.56,184.148,183.768,35.282,24.872,285.498,166.46,7.23,52.602,173.352,299.968,328.954,159.34,205.682
27,75.02,8.522,19.362,59.12,76.318,4.776,10.876,-0.168,115.774,124.044,149.186,148.038,61.85,-0.832,40.116,69.62,50.048,74.326,-67.368,222.63,-1.2,-1.2,17.6,-3.06,55.7,157.98,163.922,103.38,-5.418,-5.166,-4.158,0,-1.876,20.202,12.704,-0.01,32.722,132.968,11.332,26.71,-1.32,102.852,86.14,98.446,95.714,-2.6,-2,-1.6,-0.2,-0.5,0,257.2,31.6,14.512,9.96,9.938,37.106,0,0,0,634.96,641.56,517.676,0,0,0,51.238,80.146,315.14,338.206,19.44,-1.296,0,0,0,29.592,138.62,7.128,7.234,-0.042,-0.042,77.94,-0.02,16.342,0,147.8,-0.616,19.512,85.564,85.5,85.96,80.32,-0.042,55.134,0,98.96,56.54,21.948,1.002,-0.7,0,-2.2,0,0,143.836,138.438,146.22,44.506,20.238,136.7,138.32,141.84,138.42,-0.002,0,0,-0.006,0,-0.006,83.48,-0.254,502.728,399.768,-53.608,645.44,558.784,106.974,109.076,398.374,393.34,395.25,399.892,438.53,425.6,67.702,586.376,586.44,648.8,-49.32,-2.23,4.306,-4.04,-0.778,-0.16,36.62,52.278,-1.07,-0.644,195.12,82.174,2.968,3.582,-1.6,0,141.78,133.94,152.66,163.86,-2.58,-0.12,122.024,136.644,-4.102,48.928,44.4,22.784,-1.108,291.22,271.298,-4.4,19.896,0,93.6,0,-0.9,-0.6,-2.4,-0.6,-0.6,0.06,197.31,269.458,265.168,195.908,197.522,-2.2,71.084,89.204,-1.52,37.336,27.222,354.5,364.6,-0.8,-60.2,-3.366,-1.644,-0.254,0,0,58.386,0,49.216,98.198,-5.254,-1.54,141.348,150.632,602.58,600.54,36.702,37.062,8.936,-2.5,-0.7,-1.7,-1.5,-0.7,65.406,66.366,54.656,-0.3,-0.4,-0.7,-0.4,25.798,141.8,141.8,406.452,403.576,631.304,0,-33.168,-1.806,27.75,0,0,0,0,0,0,0,216.774,332.84,-9.612,0.286,0.212,184.048,183.708,34.382,25.472,290.38,166.54,2.59,45.3,173.302,299.986,328.934,159.36,205.642
28,58.04,14.466,21.846,59.02,74.682,7.222,9.916,-0.168,114.166,123.766,143.438,144.856,50.854,-0.834,37.056,79.868,50.248,73.142,-67.4,223.15,-1.2,-1.4,18.7,-2.88,53.388,149.02,167.654,93.32,-5.418,-5.418,-4.032,0,-2.072,20.19,14.722,-0.01,20.666,129.092,12.748,29.242,-1.3,102.848,86.122,98.414,95.714,-2.6,-2.1,-1.5,-0.3,-0.5,0,234,-4.1,12.962,9.92,9.912,38.104,0,0,0,644.4,644.02,505.576,0,0,0,47.54,82.084,314.984,338.046,15,-2.16,0,0,0,32.332,125.56,7.138,7.24,-0.022,-0.022,18.44,-0.04,16.344,0,147.9,-0.616,19.938,85.666,85.38,85.74,80.28,-0.042,53.6,0,99.52,56.98,24.764,1.004,-0.7,0,-2.2,0,0,144.08,138.436,146.178,40.27,38.93,136.7,138.34,141.74,138.36,-0.002,0,0,-0.006,0,-0.004,69.32,-0.258,503.176,400.336,-53.512,645.264,558,106.874,109.076,398.514,393.46,396.09,400.022,438.604,425.81,71.764,586.416,585.712,705.8,-48.902,-2.23,4.678,-4.14,-0.796,-0.16,36.1,56.764,-1.044,-0.632,189.644,83.022,2.248,3.588,-1.4,0,141.7,133.74,151.86,163.26,-2.7,-0.1,123.852,136.984,-4.098,41.794,49.28,20.748,-1.106,292.44,271.758,-4.6,21.126,0,93.6,0,-0.7,-0.4,-2.3,-0.5,-0.7,0.06,192.17,269.098,265.088,193.076,197.3,-2.2,70.968,89.174,-1.562,25.24,26.442,316.6,364.6,-0.8,-59.84,-3.352,-1.65,-0.254,0,0,58.39,0,49.232,98.242,55,-2.29,141.356,150.65,602.8,599.98,40.766,40.724,11.258,-2.6,-0.8,-1.7,-0.8,-0.7,68.502,70.268,59.536,-0.3,-0.4,-0.8,-0.4,24.052,140.7,140.7,406.27,390.856,629.888,0,-33.136,-1.714,30.032,0,0,0,0,0,0,0,201.368,360.3,-10.454,0.352,0.254,183.868,183.688,33.908,25.174,271.64,154,-0.48,53.016,173.308,298.168,328.954,159.22,205.622
29,34.2,10.98,27.258,58.88,72.98,9.694,9.836,-0.168,113.614,123.48,145.388,154.44,73.396,-0.834,26.492,76.47,49.092,70.624,-67.448,229.91,-1.8,-1.2,17.6,-2.88,43.738,124.96,146.208,78.88,-4.662,-9.072,-4.158,0,-1.964,20.136,10.016,-0.01,34.096,131.85,13.61,28.536,-1.32,102.83,86.128,98.43,95.714,-2.7,-2,-1.5,-0.2,-0.5,0,159.9,-4.2,17.224,9.96,9.914,33.4,0,0,0,645.08,644.74,499.894,0,0,0,37.624,72.746,315.188,338.146,23.94,-3.746,0,0,0,32.246,134.08,7.136,7.24,-0.042,-0.042,-1.56,-0.02,16.348,0,147.9,-0.614,20.382,85.626,85.7,86.12,80.36,-0.042,53.352,0,99.72,56.96,18.588,1.004,-0.7,0,-2.2,0,0,143.728,138.35,146.178,44.578,46.85,136.6,138.36,141.84,138.44,-0.002,0,0,-0.004,0,-0.006,62.44,-0.256,503.152,399.944,-53.36,645.264,548,106.874,108.996,398.434,393.5,396.03,399.724,438.472,425.908,66.796,586.424,585.448,706.8,-49.036,-2.24,2.512,-3.94,-0.79,-0.16,35.83,37.528,-1.042,-0.634,182.14,80.81,3.166,3.564,-1.6,0,141.74,133.9,151.82,163.8,-2.68,-0.12,125.944,136.976,-4.128,41.458,49.62,19.962,3.272,282.36,271.178,-4.6,21.336,0,93.61,0,-0.8,-0.5,-1.1,-0.4,-0.5,0.07,198,269.118,265.068,192.59,197.388,-2.2,51.358,76.276,-1.58,45.86,27.466,334.1,364.7,-0.7,-60.28,-3.354,-1.632,-0.264,0,0,58.426,0,49.224,98.016,82.2,-1.984,141.358,150.602,602.4,600.18,40.768,40.728,11.496,-2.6,-0.7,-1.6,-0.8,-0.7,70.024,71.104,56.922,-0.29,-0.4,-0.7,-0.5,24.006,135,135,406.492,390.916,627.768,0,-32.904,-1.776,36.47,0,0,0,0,0,0,0,348.312,365.22,-14.966,0.368,0.266,183.928,183.488,39.892,26.592,258.23,147.72,2.55,57.846,173.436,298.708,328.874,159.36,205.642
30,39.2,10.932,30.834,59.48,76.688,7.59,9.296,-0.17,107.236,116.286,114.454,147.878,58.774,-0.822,24.06,77.098,44.718,73.174,-67.536,230.67,-1.8,-1.4,17.6,-2.88,46.822,160.1,161.296,102.82,-4.662,84.042,-4.032,0,-1.884,20.1,15.424,-0.008,33.282,131.132,13.608,29.45,-1.32,102.826,86.132,98.418,95.712,-2.6,-2.1,-1.6,142.5,-0.5,0,124,-4.1,13.57,9.94,9.914,36.702,0,0,0,642.64,628.64,497.642,0,0,0,47.548,76.426,314.948,338.146,26.64,-3.456,8.198,7.488,4.286,32.202,138.14,7.132,7.24,-0.022,-0.022,-1.58,-0.04,16.344,0,147.9,-0.618,21.864,85.566,85.46,85.86,80.36,-0.042,55.084,0,99.68,57.08,37.49,1.004,-0.7,0,-4.2,0,0,144.112,138.37,146.16,46.742,47.91,136.66,138.34,141.78,138.36,-0.002,0,0,-0.006,0,-0.004,67.46,-0.254,503.664,400.04,-53.376,649.728,546.712,106.874,109.076,398.332,393.5,396.15,399.91,438.588,425.64,78.588,586.304,585.152,707,-50.204,-2.24,1.878,-4.04,-0.792,-0.16,36.32,31.39,-1.042,-0.63,195.046,82.108,2.3,3.584,-1.4,0,141.76,133.92,152.78,163.86,-2.48,-0.12,125.704,136.96,-4.268,46.298,51.34,20.888,99.218,272.74,264.958,-4.6,23.638,0,93.58,0,-0.9,-0.6,-0.7,-0.5,-0.6,0.04,203.67,269.198,265.168,192.602,197.406,-2.4,59.404,82.828,-1.622,42.032,27.524,317.8,308.1,-0.8,-59.52,-5.046,-1.64,-0.272,0,0,58.414,0,49.22,96.976,162,56.4,141.338,150.668,602,599.76,40.776,40.714,11.264,-2.6,-0.8,-1.7,-0.7,-0.6,70.564,72.81,58.384,-0.292,-0.4,-0.8,-0.4,20.696,133.9,133.9,406.292,390.896,627.424,0,-32.952,-1.784,36.62,0,0,0,0,0,0,0,213.408,301.5,80.85,-0.728,-0.13,183.848,183.608,41.392,26.414,280.56,157.72,3.85,57.3,173.356,299.986,328.914,159.28,205.742
31,23.04,19.978,29.77,55.08,66.812,8.362,10.276,-0.172,108.516,119.98,128.972,146.526,70.948,-0.808,36.96,88.124,52.024,72.708,-67.888,230.67,-1.8,-1.2,18.16,-3.06,41.452,164.06,164.912,114.2,-4.536,127.008,-4.158,0,-2.002,18.176,11.266,-0.008,33.076,125.102,13.338,30.088,-1.3,102.848,86.126,98.44,95.706,-2.6,-2,-1.6,300.2,239.2,0,204.1,273.7,9.724,9.96,9.904,36.152,0,0,0,645,571.56,497.006,0,0,0,54.032,80.788,315.088,338.266,21.3,-2.88,25.112,25.06,25.088,32.864,131.5,7.142,7.242,-0.652,-0.468,-1.58,-0.02,16.356,0,147.8,-0.608,21.462,85.706,85.6,85.96,81.16,-0.042,55.092,0,99.74,56.98,42.304,1.002,-0.7,0,-5.1,0,0,143.802,138.412,146.192,26.724,35.882,136.72,138.32,141.78,138.42,-0.002,0,0,-0.004,0,-0.004,54.2,-0.258,503.216,400.336,-53.152,647.848,543.064,106.834,108.996,398.412,393.48,396.17,399.756,438.772,425.496,70.06,586.184,585.128,534.6,-50.936,-2.23,4.468,-4.04,-0.788,-0.16,36.84,24.554,-1.044,-0.632,188.092,78.286,1.392,3.578,-1.4,0,139.88,131.68,150.44,162.72,-3.28,-0.12,121.642,136.652,-4.096,47.39,53.2,17.488,187.218,263.82,266.198,-4.6,23.784,0,93.6,0,-0.9,-0.7,-0.7,-0.5,-0.7,0.11,208.03,269.198,265.106,192.56,197.458,-2.4,71.44,88.386,-1.634,39.024,27.58,320.5,319.8,-0.8,-59.46,-5.012,-1.628,-0.274,0,0,58.406,0,49.216,98.252,390.6,72.4,141.378,150.616,602.5,600.02,40.75,40.728,7.502,-2.6,-0.7,-1.7,-0.7,-0.7,70.22,73.076,62.172,-0.288,-0.6,-0.7,-0.4,16.342,141.7,141.7,405.212,390.756,627.168,0,-32.824,-1.794,36.73,0,0,0,0,0,0,0,161.916,235.54,175.652,0.524,0.368,184.528,184.228,40.564,26.134,274.166,130.5,4.38,52.03,173.394,299.948,328.854,159.4,205.602
32,18.66,20.962,26.312,54.06,54.518,9.834,11.556,-0.176,113.498,121.978,122.648,141.41,64.064,35.506,35.89,75.206,43.484,74.266,-68.464,230.67,-2,-1.4,17.38,-2.88,47.612,138.72,149.32,113.46,-4.536,229.572,-4.158,0,-1.88,18.428,13.35,-0.01,36.37,128.152,13.328,31.31,-1.32,102.854,86.13,98.398,95.696,-2.7,-2,-1.4,300.2,300.1,0,299.2,300,9.594,9.94,9.906,36.4,0,0,0,644.58,629.3,500.826,0,0,0,48.27,81.848,315.046,338.066,25.68,-0.864,25.102,25.048,25.074,20.61,117.48,7.138,7.24,30.23,-1.316,-1.6,-0.86,16.342,0,147.9,-0.61,20.742,85.626,85.56,85.78,86.3,8.736,52.138,0,99.72,56.44,29.724,1.004,-0.7,0,84.4,0,0,143.338,138.43,146.09,36.246,48.586,136.6,138.3,141.76,138.34,-0.002,0,0,-0.004,0,-0.006,65.1,-0.256,503.824,399.896,-53.368,647.184,544.768,106.914,109.036,398.352,393.48,395.97,399.822,438.408,425.682,66.168,587.032,585.16,581.2,-51.098,-2.22,1.312,-4.04,-0.802,-0.16,34.75,34.512,-1.054,-0.634,195.226,75.358,1.672,3.59,-1.6,0,141.08,133.64,152.34,162.56,-2.88,-0.12,121.568,135.664,-4.128,43.974,38.62,21.776,268.598,240.54,253.358,-4.4,23.782,0,93.57,0,-0.9,-0.6,-0.7,-0.6,-0.7,0.03,206.41,268.278,264.388,192.618,197.37,-2.6,69.078,86.244,-1.662,43.016,28.032,320.7,351.2,-0.7,-59.36,-4.952,-1.626,-0.266,0,0,58.39,0,49.232,95.774,402.2,98.6,141.336,150.626,602.02,600.16,40.774,40.736,8.572,-2.6,-0.7,-1.7,-0.7,-0.7,68.646,72.242,59.358,-0.29,-0.4,-0.8,-0.4,18.924,139.1,139.1,406.072,390.996,627.552,0,-32.896,-1.964,35.368,0,0,0,0,0,0,0,153.146,224.52,289.538,0.154,0.122,187.108,187.968,39.29,26.146,231.268,114.06,-2.61,48.678,173.36,299.988,329.014,159.3,205.722
