settlementPeriod,T_ABRBO-1,T_ACHRW-1,T_AFTOW-1,T_AKGLW-2,T_AKGLW-3,T_ANSUW-1,T_ARCHW-1,T_BDCHW-1,T_BEATO-1,T_BEATO-2,T_BEATO-3,T_BEATO-4,T_BEINW-1,T_BHLAW-1,T_BLKWW-1,T_BLLA-1,T_BLLA-2,T_BOWLW-1,T_BPGRD-1,T_BRBEO-1,T_CARR-1,T_CARR-2,T_CASKD-1,T_CDCL-1,T_CGTHW-1,T_CLDCW-1,T_CLDNW-1,T_CLDSW-1,T_CNQPS-1,T_CNQPS-2,T_CNQPS-3,T_CNQPS-4,T_COSO-1,T_COUWW-1,T_CREAW-1,T_CRGHD-1,T_CRGHW-1,T_CRYRW-2,T_CRYRW-3,T_DALQW-1,T_DAMC-1,T_DBAWO-1,T_DBAWO-2,T_DBAWO-3,T_DBAWO-4,T_DBAWO-5,T_DDGNO-1,T_DDGNO-2,T_DDGNO-3,T_DDGNO-4,T_DIDCB5,T_DIDCB6,T_DINO-1,T_DINO-2,T_DINO-3,T_DINO-4,T_DINO-5,T_DINO-6,T_DNLWW-1,T_DOREW-1,T_DOREW-2,T_DOUGW-1,T_DRAXX-1,T_DRAXX-10G,T_DRAXX-12G,T_DRAXX-2,T_DRAXX-3,T_DRAXX-4,T_DRAXX-5,T_DRAXX-6,T_DRAXX-9G,T_DRSLW-1,T_DUNGW-1,T_EAAO-1,T_EAAO-2,T_EDINW-1,T_EECL-1,T_ERRO-1,T_ERRO-2,T_ERRO-3,T_EWHLW-1,T_FALGW-1,T_FASN-1,T_FASN-2,T_FERGD-1,T_FERGD-2,T_FFES-1,T_FFES-2,T_FFES-3,T_FFES-4,T_FINL-1,T_FOYE-1,T_FOYE-2,T_FOYED-1,T_FSDLW-1,T_GANW-11,T_GANW-13,T_GANW-22,T_GANW-24,T_GLNDO-1,T_GLWSW-1,T_GNAPW-1,T_GNFSW-1,T_GNFSW-2,T_GORDW-1,T_GORDW-2,T_GRAI-6,T_GRAI-7,T_GRAI-8,T_GRAI1G,T_GRAI4G,T_GRGBW-1,T_GRGBW-2,T_GRGBW-3,T_GRIFW-1,T_GRIFW-2,T_GYMR-15,T_GYMR-17,T_GYMR-26,T_GYMR-28,T_GYMRD-16,T_GYMRD-2,T_GYMRD-E10,T_GYMRD-E11,T_GYMRD-W10,T_GYMRD-W11,T_HADHW-1,T_HALSW-1,T_HEYM11,T_HEYM12,T_HEYM2-D,T_HEYM27,T_HEYM28,T_HMGTO-1,T_HMGTO-2,T_HOWAO-1,T_HOWAO-2,T_HOWAO-3,T_HOWBO-1,T_HOWBO-2,T_HOWBO-3,T_HRSTW-1,T_HRTL-1,T_HRTL-2,T_HUMR-1,T_HUMRD-1,T_INDQ-1,T_JGPR-1,T_KEAD-1,T_KEAD-2,T_KEADGT-3,T_KENNW-1,T_KILBW-1,T_KILLPG-1,T_KILLPG-2,T_KLGLW-1,T_KPMRW-1,T_KTHLW-1,T_KYPEW-1,T_LAGA-1,T_LARKS-1,T_LARYW-1,T_LARYW-2,T_LARYW-3,T_LARYW-4,T_LBAR-1,T_LBAR-1G,T_LNCSW-1,T_LNCSW-2,T_MEDP-1,T_MIDMW-1,T_MILWW-1,T_MKHLW-1,T_MOWEO-1,T_MOWEO-2,T_MOWEO-3,T_MRWD-1,T_MYGPW-1,T_NANT-1,T_NNGAO-1,T_OMNDW-1,T_PEHE-1,T_PEMB-11,T_PEMB-21,T_PEMB-31,T_PEMB-41,T_PEMB-51,T_PNYCB-1,T_PNYCW-1,T_RCBKO-1,T_RCBKO-2,T_RMPNO-1,T_RMPNO-2,T_ROCK-1,T_RREW-1,T_RRWW-1,T_RYHPS-1,T_SAKNW-1,T_SANQW-1,T_SCCL-1,T_SCCL-2,T_SCCL-3,T_SCCL-4,T_SEAB-1,T_SEAB-2,T_SEEL-1,T_SGRWO-1,T_SGRWO-2,T_SGRWO-3,T_SGRWO-4,T_SGRWO-5,T_SGRWO-6,T_SHBA-1,T_SHBA-2,T_SHRSW-1,T_SHRSW-2,T_SIZB-1,T_SIZB-2,T_SLOY-2,T_SLOY-3,T_SOKYW-1,T_SPLN-1,T_STAY-1,T_STAY-2,T_STAY-3,T_STAY-4,T_STLGW-1,T_STLGW-2,T_STLGW-3,T_STRNW-1,T_SUTB-1,T_SVRP-10,T_SVRP-20,T_TDBNW-1,T_THNTO-1,T_THNTO-2,T_TKNEW-1,T_TKNWW-1,T_TORN-1,T_TORN-2,T_TORN-D,T_TSREP-1,T_TWSHW-1,T_USKM-13,T_WBUGT-1,T_WBUGT-4,T_WBUPS-1,T_WBUPS-2,T_WBUPS-3,T_WBUPS-4,T_WBURB-1,T_WBURB-2,T_WBURB-3,T_WBURB-41,T_WBURB-43,T_WDNSO-1,T_WDNSO-2,T_WDRGW-1,T_WHIHW-1,T_WHILW-1,T_WHILW-2,T_WILCT-1,T_WISTW-2,T_WLNYO-2,T_WLNYO-3,T_WLNYO-4,T_WLNYW-1,T_WTMSO-1
12,16.36,-0.132,11.69,21.08,18.28,0.478,21.62,12.386,55.054,53.832,61.998,68.42,1.776,1.344,9.764,0.676,0,66.068,-42.072,246.41,-0.2,176,0.76,406.44,3.14,0,0,11.22,-4.536,0,-4.662,-4.914,-1.984,-0.09,9.078,-0.004,0.43,18.954,2.586,0.198,-3.92,0,0,0,0,0,27.524,19.396,22.354,25.08,0,-0.3,0,0,-1.3,0,-1.3,0,1.992,42.16,21.312,0.298,323.942,0,0,0,599.06,619.98,0,0,0,21.78,11.312,117.144,131.668,0.34,401.328,0,0,0,5.162,25.38,-0.006,-0.002,-0.002,-1.182,-0.042,-0.022,-0.02,-0.02,16.34,-1.8,-1.8,-0.892,-0.05,35.606,37.76,46.62,38.1,3.15,-0.258,2.898,32.02,16.96,14.944,16.22,0,-0.5,410.8,0,0,64.42,75.354,62.196,6.41,8.262,114.46,128.08,129.38,136.38,-0.002,0,0,-0.006,0,-0.01,17.988,14.038,492.976,521.04,-28.768,604.32,-5.664,59.55,34.796,132.594,91.414,95.494,101.792,225.294,193.46,17.24,559.992,0,346.292,-47.88,-2.21,6.626,-1.24,819.98,-0.16,0.18,16.368,-0.732,-0.526,52.682,-0.244,0.192,0.602,-1,0.85,100.92,87.2,67.92,70.88,630.22,-0.02,35.138,44.556,34.198,0.558,0.68,7.98,-0.004,199.498,232.498,-0.6,3.23,0,0,71.52,0,273,301,0,419.6,425,-0.02,83.72,109.118,77.102,126.788,85.198,-0.8,46.708,62.214,0,3.146,9.764,326.4,184.4,0,-43.04,-3.766,240.44,-0.344,0,0,-1.44,-1.31,-1.572,-3.074,734.6,-0.452,54.768,51.416,593.56,591.66,0,0,30.778,390.9,422.2,419.4,419.4,0,5.836,6.54,2.874,34.892,-0.8,-0.5,-0.4,0.54,46.746,38.964,220.292,-0.004,633.792,636.136,-54.744,-1.592,0,0,0,0,0,0,0,0,-1.862,0,-1.62,0.462,0.52,188.508,190.108,16.224,6.186,-3.16,-0.638,35.61,17.192,160.454,255.638,299.71,160.24,87.542
13,8.6,0.004,13.764,19.64,11.604,0.384,21.44,13.346,53.444,55.134,79.706,89.246,2.184,2.428,9.11,-0.328,0,62.902,-41.932,239.57,0,181.8,0.44,406.26,2.6,0,0,21.46,-4.662,0,-4.536,-4.788,-1.846,-0.082,7.532,-0.004,0.428,12.298,2.422,0.342,-3.91,0,0,0,0,0,22.236,18.49,17.114,18.95,0,-0.3,0,0,-1.3,0,-1.5,0,0.436,42.4,21.008,0.358,314.364,0,0,0,626.92,619.14,0,0,0,23.06,10.312,93.264,112.948,0.28,409.536,0,0,0,5.704,12.04,-0.006,-0.002,-0.002,-1.794,-0.57,-1.312,-0.04,-0.04,16.322,3.1,-1.5,-0.82,-0.05,32.166,37.28,39.6,34.8,98.604,-0.172,3.892,37.28,18.44,10.312,10.74,0,-0.6,411,0,0,56.188,70.232,52.408,2.09,6.316,104.34,123.9,126.08,133.96,-0.002,0,0,-0.004,0,-0.008,13.924,19.442,493.208,520.056,-29.696,604.744,-4.872,50.768,34.216,119.594,91.534,65.614,122.01,203.144,207.3,20.82,559.624,0,345.472,-48.04,-2.19,6.238,-1.24,819.5,-0.16,4.09,20.266,-0.746,-0.538,56.702,-0.336,0.014,0.146,-1,2.73,87.9,75.22,65.3,67.32,728.22,-0.02,45.248,55.752,45.34,0.816,0.98,6.96,-0.004,181.678,184.138,-0.6,4.224,0.08,0,64.48,0,410.6,432.2,0,419.8,425.6,-0.02,79.89,121.038,89.104,116.472,84.954,-0.6,50.026,65.952,0,12.596,14.008,321.8,280.4,0,-43.12,-5.104,244.54,-0.338,0,0,-1.434,-1.314,-1.58,-3.076,734.6,-0.46,48.902,37.062,593.56,591.64,0,0,40.766,676.9,422.2,418.8,420,0,5.056,5.192,2.204,45.132,-1,-0.5,-0.4,1.054,36.528,33.208,226.372,-0.004,634.544,635.88,-54.816,-1.612,0,0,0,0,0,0,0,0,-1.898,0,-2.29,-0.002,0.19,181.688,168.128,23.88,9.22,-3.2,-0.632,31.49,20.782,149.278,247.338,277.85,130.36,67.862
14,8.48,0.024,15.15,15.96,11.802,0.498,17.2,18.952,63.628,63.716,89.762,100.904,1.866,3.206,11.17,-0.492,0,58.022,-41.732,243.212,-0.2,238.8,0,403.92,2.58,0,0,25.5,-5.67,0,-4.662,-4.788,-1.994,-0.084,9.43,-0.004,-0.182,14.214,2.446,-0.28,-3.9,0,0,0,0,0,30.542,25.816,22.122,27.058,0,-0.3,0,0,-1.3,0,-1.4,0,0.258,44.2,22.41,-0.002,452.718,0,0,0,626.64,619.38,0,0,0,18.96,10.692,83.824,100.688,0.38,405.07,0,0,0,6.076,13,-0.006,-0.002,-0.086,-1.666,30.366,47.16,-0.02,16.08,16.326,148.8,66.7,-1.092,-0.05,28.926,33.82,42,32.44,98.704,8.918,2.382,35.48,17.56,9.77,7.286,0,-0.5,408.8,0,0,48.932,64.332,48.11,1.496,4.286,95.54,113.44,111.58,130.58,-0.002,0,0,-0.006,0,-0.01,12.832,20.072,493.592,519.08,-29.84,602.136,-4.856,50.392,31.736,134.454,100.314,78.034,130.546,209.878,235.72,20.62,559.656,0,345.13,-48.32,-2.08,6.52,-1.24,819.1,-0.16,27.14,17.132,-0.746,-0.54,58.166,-0.308,0,-0.186,-1.2,4.84,81.96,69.98,53.12,55.68,727.42,-0.02,35.614,48.046,160.9,4.458,0.82,5.68,-0.004,212.498,198.118,-0.6,4.836,14.092,0,69.51,0,423.2,431.6,0,419.6,425,-0.02,77.85,119.898,108.444,120.664,86.768,-0.8,42.146,59.324,0,17.734,17.906,321.8,372.3,0,-43.16,-4.668,240.02,-0.364,0,0,-1.444,-1.312,-1.574,-3.076,732.4,-0.454,60.92,46.744,593.54,590.82,0,0,41.512,793.7,421.2,415.8,418.9,0,5.5,4.86,2.23,45.312,-1,-0.6,-0.5,0.756,33.732,31.59,311.392,-0.004,633.68,635.84,-54.888,-1.582,0,0,0,0,0,0,0,0,-1.954,0,-2.34,-0.646,-0.46,165.748,154.368,22.612,12.084,-3.12,-0.61,31.87,23.972,147.054,239.958,261.612,109.36,62.702
15,14.66,0.036,16.974,12.28,9.488,0.542,10.28,15.812,85.42,94.362,101.648,125.442,1.506,3.422,10.534,-0.43,0,52.084,-41.962,247.01,-0.2,183.4,-0.12,342.54,2.78,0,0,25.7,-8.316,0,-4.662,-4.914,-1.928,-0.08,11.472,-0.006,-0.244,12.498,1.802,0.25,-3.93,0,0,0,0,0,51.75,36.606,39.082,43.836,0,-0.3,0,0,-1.3,0,-1.4,0,-0.038,41.52,23.146,1.236,402.224,0,0,0,626.7,619.7,0,0,0,14.04,12.154,75.146,98.408,0.4,398.88,0,0,0,6.668,10,-0.006,-0.002,-0.47,-1.456,20.134,45.984,-0.04,-1.76,16.308,142,-2,-1.076,-0.052,26.166,33.32,37.92,27.08,98.682,9.748,2.056,35.96,18.24,15.578,6.142,0,-0.6,405.4,0,0,46.914,56.76,45.56,0.728,3.936,83.16,103.1,103.96,122.64,-0.002,0,0,-0.006,0,-0.008,8.716,22.94,493.096,518.704,-29.8,600.96,-4.848,58.182,31.116,146.774,118.114,105.794,150.242,214.276,228.84,17.74,559.032,0,344.268,-48.6,-2.11,5.742,-1.24,769.2,-0.16,22.72,16.956,-0.742,-0.534,35.83,-0.296,0,-0.17,-1.2,8.18,82.32,71.52,54.82,55.94,636.42,-0.02,24.534,44.75,337.86,10.496,1.26,3.7,-0.004,235.118,207.738,-0.6,4.982,14.674,0,62.9,0,405.4,413.4,0,419.6,425.2,-0.03,86.92,95.298,90.582,100.018,69.234,-0.6,39.114,54.466,0,13.218,16.506,334,269.8,0,-43.36,-5.236,247.9,-0.342,0,0,-1.432,-1.318,-1.588,-3.078,733.6,-0.46,61.85,49.392,593.98,591.82,0,0,40.032,757.4,420.8,378,417.7,0,4.788,4.39,2.322,51.312,-1,-0.7,-0.6,0.128,41.622,39.868,270.432,-0.004,635.08,637.168,-55.016,-1.582,0,0,0,0,0,0,0,0,-1.984,0,-3.236,-0.716,-0.664,151.108,141.348,22.394,12.222,-3.18,-0.598,31.5,22.424,143.832,248.898,271.15,90.6,56.862
16,12.34,0.226,13.646,7.72,6.646,0.348,13.7,17.964,98.886,107.962,119.664,144.646,3.436,4.384,11.774,-0.43,0,53.052,-42.35,222.19,-0.2,198.2,-0.32,396.36,2.66,0,0,20.86,102.69,0,-4.536,-4.914,-2.004,-0.064,12.974,-0.006,0.098,11.104,1.236,-0.11,-3.93,0,0,0,0,0,51.354,39.372,42.132,47.026,0,-0.2,0,0,-1.3,0,-1.4,0,-0.158,39.16,22.694,-0.328,301.612,0,0,0,621.04,619.62,0,0,0,9.92,11.132,68.946,83.448,0.14,393.408,0,0,0,6.668,6.98,-0.006,-0.002,-0.596,-1.47,-1.216,-1.214,-0.02,-1.66,16.266,148.6,-1.9,-1.028,-0.048,28.808,32.66,33.8,29.12,98.72,1.182,2.644,30,16.68,16.81,9.12,0,-0.5,401,0,0,50.124,57.084,47.488,2.816,6.406,76.06,94.04,88.52,111.46,-0.002,0,0,-0.004,0,-0.01,10.118,24.188,492.888,518.84,-29.872,600.616,-4.88,45.43,28.896,160.914,133.394,131.754,164.64,208.246,222,17.38,558.896,0,344.476,-51,-2.09,5.038,-1.14,815.72,-0.16,8.16,20.828,-0.748,-0.538,44.864,-0.286,-0.008,0.158,-1,10.92,83.82,73.62,55.26,55.46,724.8,0,29.224,40.416,530.8,5.558,1.44,4.46,-0.004,273.518,230.558,-0.6,4.462,14.602,0,75.18,0,410.8,413,0,419.4,424.6,-0.02,91.87,104.638,104.182,101.446,68.506,-0.8,39.246,54.32,0,15.768,12.264,350.7,284,0,-43.38,-4.762,261.32,-0.334,0,0,-1.432,-1.322,-1.594,-3.072,731.2,-0.47,70.146,51.156,592.72,591.36,0,0,34.372,782.2,420,417.6,416,0,5.684,4.65,1.938,53.092,-0.8,-0.7,-0.6,-0.1,33.244,30.43,242.052,-0.004,634.632,636.528,-55.184,-1.61,0,0,0,0,0,0,0,0,-1.942,0,-6.41,-0.858,-1.09,170.348,163.908,21.146,8.44,-3.04,-0.588,30.98,18.716,144.222,239.878,257.292,107.7,59.282
17,24.48,0.586,8.38,8.88,6.376,0.496,13.54,13.81,102.864,114.35,130.968,148.456,4.596,6.14,9.762,0.31,0,47.744,-42.242,204.232,-0.2,46.4,-0.34,318.78,3.04,0,0,23.02,199.206,0,-4.662,-4.914,-1.824,0.254,17.108,-0.006,0.428,10.092,1.588,-0.072,-3.95,0,0,0,0,0,50.232,36.476,45.282,44.856,0,-0.3,0,0,-1.4,0,-1.5,0,-0.122,37.58,20.894,-0.428,300.502,0,0,0,604.1,619.34,0,0,0,7.9,13.252,58.006,76.528,0.078,383.326,0,0,0,7.7,5.16,-0.006,-0.002,-0.672,-1.696,-1.234,-1.212,-0.04,-1.6,16.296,141.9,-2,-1.026,-0.048,28.124,32.7,32.9,28.46,98.638,0.282,2.304,27.2,16,18.352,13.554,0,-0.6,400.1,0,0,48.286,60.26,46.616,6.318,10.236,84.06,95.74,89.82,105.38,-0.002,0,0,-0.004,0,-0.008,10.448,20.928,493.28,519.64,-29.864,599.096,-4.848,54.286,30.916,132.174,152.114,154.834,153.212,184.998,189.34,13.28,558.6,0,342.066,-51.72,-2.09,6.668,-1.34,781.98,-0.16,4.85,11.096,-0.744,-0.536,48.994,0.56,0,0.58,-1.2,17.5,92.08,81.52,63.8,63.62,723.82,-0.02,32.388,43.234,562.72,0.892,1.66,6.86,-0.004,291.398,244.818,-0.6,4.438,14.614,0,68.03,0,422.6,431.6,0,418.8,424.4,-0.02,104.24,120.918,115.504,98.43,75.852,-0.8,35.546,54.464,0,11.3,7.722,322.4,219.9,0,-43.48,-4.718,87.548,-0.34,0,0,-1.438,-1.322,-1.58,-3.1,727.4,-0.468,62.618,45.876,593.1,591.52,0,0,17.498,693.8,419.2,416.2,414.6,0,6.29,6.332,3.036,45.692,-1,-0.7,-0.5,-0.092,26.514,24.018,249.09,-0.004,634.64,637.28,-55.232,-1.642,0,0,0,0,0,0,0,0,-1.994,0,95.604,-0.506,-0.804,152.388,143.388,13.7,7.424,-0.28,-0.568,30.2,10.71,120.676,242.618,240.03,94.18,63.002
18,14.24,1.98,4.144,8.22,7.788,0.874,10.08,12.366,83.518,105.2,115.674,126.286,4.322,6.662,8.242,1.072,0,47.098,-42.78,180.49,0,-8.6,-1.2,391.32,3.96,0,0,19.36,274.68,0,-4.536,-4.788,-2.224,0.406,12.494,-0.006,0.67,9.736,1.724,-0.064,-3.94,0,0,0,0,0,40.424,27.52,39.39,39.04,0,-0.3,0,0,-1.4,0,-1.4,0,-0.094,39.74,23.312,-0.378,302.362,0,0,0,604.42,586.56,0,0,0,12.6,13.334,65.504,87.148,0.1,389.664,0,0,0,9.324,5.6,-0.006,-0.002,-0.68,-1.826,-1.214,-1.212,-0.02,-1.6,16.298,112.7,-1.9,-1.042,0.554,35.226,39.3,37.76,29.9,98.76,0.14,1.856,26.5,14.76,20.136,17.178,0,-0.6,399.5,0,0,60.186,64.992,56.08,7.306,11.616,72.76,98.6,108.92,119.08,-0.002,0,0,-0.006,0,-0.008,11.704,19.646,493.136,519.664,-29.872,598.44,-4.832,47.988,27.756,135.794,158.134,169.834,145.958,195.524,184.36,17.36,558.8,0,342.276,-52.28,-2.1,5.312,-1.24,812.68,-0.16,6.16,21.936,-0.754,-0.534,43.366,1.574,0.016,2.168,-1.2,21.34,98.9,90.44,72.18,73.88,722.62,-0.02,21.252,27.204,464.86,0.168,4.34,7,-0.004,289.418,266.818,-0.6,3.618,14.668,0,63.74,0,391.6,411,0,410.6,413.4,-0.02,106.93,106.758,114.344,117.158,84.824,-0.8,43.326,62.178,0,5.786,4.364,321.9,220,0,-43.36,-4.722,-3.924,-0.342,0,0,-1.442,-1.316,-1.576,-3.084,724.6,-0.466,88.196,59.214,592.92,592.16,0,0,16.738,620.9,418.8,415.4,413.9,0,7.908,7.34,4.824,38.452,-0.8,-0.6,-0.5,0.3,25.136,25.12,251.532,-0.004,635.232,639.048,-55.256,-1.62,0,0,0,0,0,0,0,0,-2.058,0,193.984,-0.142,-0.944,140.648,123.088,6.878,3.538,-0.53,-0.534,29.52,7.434,119.05,237.178,230.492,73.72,56.762
19,19.58,1.402,5.944,6.24,6.964,0.666,8.82,10.46,52.91,71.386,80.672,89.25,6.566,6.85,8.87,1.978,0,51.634,-43.22,214.99,-0.2,-6.4,-0.22,392.94,3.84,0,0,14.28,261.576,0,-4.536,-4.914,-2.096,0.716,15.04,-0.006,0.378,7.672,1.428,0.378,-4.15,0,0,0,0,0,47.184,33.716,42.708,46.096,0,-0.3,0,0,-1.3,0,-1.5,0,0.182,45.38,25.572,-0.202,310.29,0,0,0,624.54,599.72,0,0,0,11.44,14.512,74.904,110.608,0.38,371.662,0,0,0,9.414,7.36,-0.006,-0.002,-0.942,-1.278,19.4,24.218,-0.04,-1.6,16.316,-1.9,-2,-0.974,0.818,35.488,41.34,37.48,40.64,98.698,3.312,1.584,20.86,12.5,26.05,16.32,0,-0.5,402.6,0,0,67.978,62.752,65.624,6.958,9.804,123.34,133.38,121.84,129.54,-0.002,0,0,-0.004,0,-0.01,11.478,22.628,493.416,519.4,-29.808,599.552,-4.848,61.912,36.396,150.134,158.354,171.594,142.71,243.606,202.76,16.12,559.544,0,339.472,-52.94,-2.08,5.918,-1.14,809.28,-0.16,10.03,21.284,-0.754,-0.536,40.156,2.556,0.054,2.104,-1.2,12.78,111.26,102.06,81.54,84.4,720.22,-0.02,37.436,34.612,361.66,2.916,5.12,5.24,-0.004,270.418,258.538,-0.6,2.804,1.746,0,64.23,0,422,431,0,414.6,412.4,-0.03,106.89,89.918,97.22,128.032,101.358,-1,36.162,52.316,0,3.556,3.714,321.8,220,0,-43.38,-3.596,-3.084,-0.354,0,0,-1.444,-1.312,-1.584,-3.092,739.4,-0.46,59.126,44.98,593.16,592.14,0,0,16.526,672.8,417.4,414.4,413,0,8.92,8.832,4.75,53.632,-0.8,-0.6,-0.4,1.636,26.432,27.148,228.852,-0.004,633.896,638.656,-55.224,-1.63,0,0,0,0,0,0,0,0,-2.092,0,401.914,0.092,-0.154,151.588,126.488,5.422,2.312,0.62,-0.534,30.3,7.59,124.536,230.198,253.35,87.04,72.042
20,23.82,1.412,6.352,4.16,3.802,0.844,10.68,12.862,38.338,66.982,71.83,78.554,6.378,6.768,12.254,4.858,0,50.688,-43.22,220.59,-0.2,-4.6,-1.64,367.56,6.12,0,0,8.06,254.268,0,-4.536,-4.788,-2.036,0.566,18.322,-0.004,0.43,7.322,1.118,3.02,-4.17,0,0,0,0,0,44.852,30.76,39.268,42.79,0,-0.3,0,0,-1.4,0,-1.5,0,0.744,42.98,22.798,1.89,307.67,0,0,0,615.46,600.06,0,0,0,12.94,16.414,111.824,130.948,0.66,350.352,0,0,0,11.544,3.5,-0.006,-0.002,-0.854,-1.646,-1.214,36.472,-0.02,-1.6,16.322,-1.9,-1.9,-0.9,0.854,39.544,46.78,47.94,44.4,8.658,4.788,1.442,20.48,12.04,24.422,18.336,0,-0.6,378.6,0,0,73.286,64.954,71.492,6.752,8.212,86.68,102.12,100.4,103.08,-0.002,0,0,-0.004,0,-0.01,9.12,21.904,493.864,519.776,-29.832,600.728,-3.136,78.842,52.916,160.814,158.294,168.394,140.826,280.864,238.96,8.1,559.288,0,323.872,-52.28,-2.07,6.28,-1.23,807.48,-0.17,6.68,16.35,-0.754,-0.538,32.97,2.198,0.078,2.43,-1.2,15.17,101.7,92.42,68.76,71.48,720.2,0,60.574,74.742,345.4,4.23,5.5,4.72,-0.004,222.898,206.918,-0.8,2.188,0,0,64.74,0,422.6,430.6,0,418.8,424,-0.02,93.04,90.158,118.164,158.6,121.178,-1,38.458,52.412,0,6.052,5.576,321.1,220,0,-43.84,-2.846,-2.22,-0.368,0,0,-1.428,-1.312,-1.582,-3.082,740.4,-0.462,49.6,38.092,593.14,592.36,0,0,18.776,714.9,417.2,413.4,412.7,0,9.46,9.262,6.16,52.192,-0.6,-0.5,-0.4,1.574,17.538,17.568,244.332,-0.004,634.096,639.648,-55.184,-1.752,0,0,0,0,0,0,0,0,-2.204,0,405.792,0.104,0.028,168.888,143.628,7.204,3.418,3.48,-0.286,30.54,8.076,141.496,234.518,278.892,103.86,105.162
21,21.84,1.842,6.974,3.82,3.884,0.512,9.7,15.058,36.68,59.22,53.074,57.092,4.954,5.812,11.298,2.678,0,53.838,-42.968,200.99,-0.2,-4.6,-2.52,301.68,6.7,0,0,4.66,246.33,0,-4.662,-4.788,-1.94,0.962,20.53,-0.004,0.768,6.766,1.094,2.714,-4.06,0,0,0,0,0,45.926,26.684,33.846,44.558,0,-0.2,0,0,-1.4,0,-1.4,0,0.838,47.36,28.124,4.12,309.648,0,0,0,606.42,599.82,0,0,0,12.58,19.834,115.424,147.748,1.58,321.408,0,0,0,12.334,6.22,-0.006,-0.002,-0.804,-1.588,-1.214,42.226,-0.04,-1.58,16.314,-1.9,-1.9,-0.892,0.69,31.166,43.44,40.3,41.62,-0.042,3.8,1.554,23.42,11.94,29.938,26.316,0,-0.5,365.5,0,0,62.358,59.994,58.644,8.004,12.074,63.1,80.5,95.42,112.92,-0.002,0,0,-0.004,0,-0.01,7.388,25.126,493.24,519.744,-29.808,599.376,-2.208,79.33,54.976,189.414,188.074,157.874,116.57,259.93,275.72,14,559.472,0,300.476,-52.06,-2.07,5.834,-1.34,805.22,-0.16,6.38,13.192,-0.756,-0.538,29.534,3.098,0.104,2.392,-1.2,14.79,87.5,75.94,59.36,63.8,710.02,-0.02,76.604,94.508,348.84,2.578,5.92,5.2,-0.004,193.238,165.618,-0.6,4.222,0,0,59.3,0,422,431.4,0,418.4,424.4,-0.02,91.86,136.558,188.884,155.794,126.354,-1,38.072,48.562,0,9.122,4.562,319.6,220.8,0,-43.82,-2.892,-2.1,-0.336,0,0,-1.43,-1.318,-1.584,-3.094,738.4,-0.476,58.718,36.742,593.32,591.92,0,0,21.106,764.8,417.2,413.2,412,0,9.212,9.364,6.426,52.412,-0.8,-0.6,-0.4,2.068,13.858,13.328,290.572,-0.004,632.168,638.84,-55.128,-1.74,0,0,0,0,0,0,0,0,-2.174,0,413.018,0.074,-0.018,164.068,159.728,10.078,2.786,12.69,1.916,30.48,9.916,148.3,255.378,286.93,147.54,144.642
22,14.7,3.904,6.674,4.38,4.304,1.786,10.2,15.684,60.188,74.694,53.742,68.572,5.182,5.334,11.716,4.2,0,55.534,-43.794,166.35,0,-4.4,0.12,367.02,7.4,0,0,1.216,241.542,0,-4.536,-4.914,-1.894,1.97,26.746,-0.006,2.678,7.558,1.362,1.962,-3.9,0,0,0,0,0,45.61,19.746,33.362,42.558,0,-0.3,0,0,-1.4,0,-1.5,0,2.146,44.48,29.79,2.148,300.86,0,0,0,603.56,600.24,0,0,0,9.32,14.252,151.944,183.488,2.32,302.544,0,0,0,16.708,11.1,-0.006,-0.002,-0.58,-1.578,-1.214,-1.212,-0.02,-0.7,16.3,-1.9,-2,-0.894,1.658,32.026,38.06,39.16,30.78,-0.042,2.634,1.712,22.98,10.3,33.438,28.806,0,-0.6,288.6,0,0,64.874,54.994,61.848,12.86,15.2,105.44,128.5,126.58,129.6,-0.002,0,0,-0.004,0,-0.008,7.822,26.634,493.544,520.792,-29.88,601.856,-2.232,73.98,56.456,215.594,221.534,174.094,135.134,245.002,263.36,11.22,559.808,0,304.074,-51,-2.07,5.55,-1.04,804.88,-0.16,7.8,13.232,-0.754,-0.538,26.702,6.306,0.194,4.358,-1.4,12.93,65.96,57.18,43.9,46.6,698.22,-0.02,78.702,96.4,339.36,1.536,5.28,6.06,-0.004,165.678,130.298,-0.6,2.42,0,0,66.4,0,409.4,414.2,0,418.4,423.6,-0.02,89.98,164.198,197.92,172.854,133.548,-1.2,41.462,51.368,0,12.564,6.998,319.6,54.1,0,-43.84,-2.898,-2.022,-0.33,0,0,-1.448,-1.316,-1.594,-3.106,737.2,-0.496,81.528,69.174,593.84,592.1,0,0,15.62,669,416.6,413.2,412,0,11.082,10.736,7.52,45.272,-1,-0.5,-0.3,3.514,9.616,10.288,297.01,-0.004,631.328,639.952,-55.336,-1.72,0,0,0,0,0,0,0,0,-2.112,0,404.424,-0.188,-0.364,176.788,167.968,11.388,4.21,17.48,7.3,30.36,7.6,148.65,285.258,293.33,127.92,134.782
