bmUnit,name_acquisition_date_registry,fuelType_acquisition_date_registry,bmUnitType,productionOrConsumptionFlag
T_PEMB-11,Pembroke Unit 11,CCGT,T,P
T_PEMB-21,Pembroke Unit 21,CCGT,T,P
T_PEMB-31,Pembroke Unit 31,CCGT,T,P
T_PEMB-41,Pembroke Unit 41,CCGT,T,P
T_PEMB-51,Pembroke Unit 51,CCGT,T,P
T_PLOEW-1,PENCLOE WIND 1,WIND,T,P
T_PNYCB-1,Pen y Cymoedd Battery,,T,P
T_PNYCW-1,PNYCW-1 Export,WIND,T,P
T_RCBKO-1,RACE_BANK_Z01,WIND,T,P
T_RCBKO-2,RACE_BANK_Z02,WIND,T,P
T_RMPNO-1,Rampion Offshore Wind BMU 1,WIND,T,P
T_RMPNO-2,Rampion Offshore Wind BMU 2,WIND,T,P
T_ROCK-1,Rocksavage Power Station,CCGT,T,P
T_RREW-1,T_RREW-1,WIND,T,P
T_RRWW-1,T_RRWW-1,WIND,T,P
T_RYHPS-1,T_RYHPS-1,CCGT,T,P
T_SAKNW-1,Sandy Knowe Wind Farm,WIND,T,P
T_SANDB-1,Sheaf BESS,,T,P
T_SANQW-1,SANQUHAR,WIND,T,P
T_SCCL-1,Unit 1,CCGT,T,P
T_SCCL-2,Unit 2,CCGT,T,P
T_SCCL-3,Unit 3,CCGT,T,P
T_SCCL-4,BP Load,,T,P
T_SEAB-1,Seabank Power Module,CCGT,T,P
T_SEAB-2,Seabank Power Module 2,CCGT,T,P
T_SEEL-1,Spalding Energy Expansion Ltd,OCGT,T,P
T_SGRWO-1,Seagreen1 Offshore WF 1,WIND,T,P
T_SGRWO-2,Seagreen1 Offshore WF 2,WIND,T,P
T_SGRWO-3,Seagreen1 Offshore WF 3,WIND,T,P
T_SGRWO-4,Seagreen1 Offshore WF 4,WIND,T,P
T_SGRWO-5,Seagreen1 Offshore WF 5,WIND,T,P
T_SGRWO-6,Seagreen1 Offshore WF 6,WIND,T,P
T_SHBA-1,SOUTH HUMBER BANK P/S PHASE 1,CCGT,T,P
T_SHBA-2,SOUTH HUMBER BANK P/S PHASE 2,CCGT,T,P
T_SHRSW-1,Sheringham Shoal Unit 1,WIND,T,P
T_SHRSW-2,Sheringham Shoal Unit 2,WIND,T,P
T_SIZB-1,Sizewell B Genrator 1,NUCLEAR,T,P
T_SIZB-2,Sizewell B Genrator 2,NUCLEAR,T,P
T_SLOY-2,Sloy G2,NPSHYD,T,P
T_SLOY-3,Sloy G3,NPSHYD,T,P
T_SOFOW-11,Sofia Offshore Wind BMU 1,WIND,T,P
T_SOFOW-12,Sofia Offshore Wind BMU 2,WIND,T,P
T_SOFOW-21,Sofia Offshore Wind BMU 3,WIND,T,P
T_SOFOW-22,Sofia Offshore Wind BMU 4,WIND,T,P
T_SOKYW-1,South Kyle Wind Farm,WIND,T,P
T_SPLN-1,Spalding Power Station,CCGT,T,P
T_STAY-1,Staythorpe Unit 1,CCGT,T,P
T_STAY-2,Staythorpe Unit 2,CCGT,T,P
