row,family,hour_0based,uid,multiplier
2702,transition,88,101_STEAM_3,-167.5518324453409
2708,transition,89,101_STEAM_3,1.3162804179955856e-12
2719,thermal_lower,91,101_STEAM_3,-5.585061081511363
2722,minimum_up,91,101_STEAM_3,-167.5518324453409
2731,thermal_lower,93,101_STEAM_3,-1.8336311900737605
2738,transition,94,101_STEAM_3,-55.00893570221282
2743,thermal_lower,95,101_STEAM_3,-3.7514298914376774
2744,transition,95,101_STEAM_3,-55.0089357022153
2748,thermal_upper,96,101_STEAM_3,-2.6745362925547083
2750,transition,96,101_STEAM_3,-167.5518324453456
2755,thermal_lower,97,101_STEAM_3,-5.585061081511289
2756,transition,97,101_STEAM_3,35.712925788812214
2758,minimum_up,97,101_STEAM_3,-55.00893570221282
2761,thermal_lower,98,101_STEAM_3,-5.5850610815113635
2762,transition,98,101_STEAM_3,-76.82997095431364
2767,thermal_lower,99,101_STEAM_3,-1.8336311900737012
2768,transition,99,101_STEAM_3,-244.38180339965453
2772,thermal_upper,100,101_STEAM_3,-2.674536292554709
2774,transition,100,101_STEAM_3,-299.39073910186556
2777,minimum_down,100,101_STEAM_3,-35.712925788812214
2778,thermal_upper,101,101_STEAM_3,-1.7347224560068402
2780,transition,101,101_STEAM_3,-131.83890665651987
2791,thermal_lower,103,101_STEAM_3,-3.7514298914377595
2794,minimum_up,103,101_STEAM_3,-112.54289674313279
2803,thermal_lower,105,101_STEAM_3,-4.394630221884013
2806,minimum_up,105,101_STEAM_3,-131.83890665652174
2810,transition,106,101_STEAM_3,1.3642420526593924e-12
2815,thermal_lower,107,101_STEAM_3,-1.833631190073701
2818,minimum_up,107,101_STEAM_3,-55.00893570221103
2840,transition,111,101_STEAM_3,-1.3162804179955856e-12
3272,thermal_upper,16,101_STEAM_4,-3.3306690738754696e-15
3274,transition,16,101_STEAM_4,-2.531308496145357e-13
3394,transition,36,101_STEAM_4,-1.8562928971732617e-13
3398,thermal_upper,37,101_STEAM_4,-3.3306690738754696e-15
3400,transition,37,101_STEAM_4,-1.8562928971732617e-13
3406,transition,38,101_STEAM_4,6.750155989720952e-14
3412,transition,39,101_STEAM_4,-1.8562928971732617e-13
3416,thermal_upper,40,101_STEAM_4,-2.4424906541753444e-15
3418,transition,40,101_STEAM_4,-1.8562928971732617e-13
3434,thermal_upper,43,101_STEAM_4,-1.3322676295501878e-15
3436,transition,43,101_STEAM_4,-1.0125233984581428e-13
3478,transition,50,101_STEAM_4,4.662936703425657e-13
3562,transition,64,101_STEAM_4,4.1300296516055823e-13
3566,thermal_upper,65,101_STEAM_4,-2.674536292554726
3591,thermal_lower,69,101_STEAM_4,-5.585061081511345
3598,transition,70,101_STEAM_4,-167.55183244534035
3602,thermal_upper,71,101_STEAM_4,-2.6745362925547287
3604,transition,71,101_STEAM_4,-167.5518324453398
3610,transition,72,101_STEAM_4,35.712925788819575
3615,thermal_lower,73,101_STEAM_4,-5.585061081511345
3616,transition,73,101_STEAM_4,35.712925788819575
3618,minimum_up,73,101_STEAM_4,-167.5518324453398
3626,thermal_upper,75,101_STEAM_4,-0.9398138365478781
3631,minimum_down,75,101_STEAM_4,-35.712925788819575
3633,thermal_lower,76,101_STEAM_4,-5.585061081511345
3634,transition,76,101_STEAM_4,35.71292578881916
3640,transition,77,101_STEAM_4,-167.55183244534064
3644,thermal_upper,78,101_STEAM_4,-2.674536292554727
3646,transition,78,101_STEAM_4,-167.5518324453401
3649,minimum_down,78,101_STEAM_4,-35.71292578881916
3657,thermal_lower,80,101_STEAM_4,-5.585061081511337
3662,thermal_upper,81,101_STEAM_4,-2.2046293742807905
3664,transition,81,101_STEAM_4,-167.5518324453401
3675,thermal_lower,83,101_STEAM_4,-5.585061081511337
3682,transition,84,101_STEAM_4,-167.5518324453401
3684,minimum_up,84,101_STEAM_4,-167.5518324453401
3692,thermal_upper,86,101_STEAM_4,-2.2046293742807945
3694,transition,86,101_STEAM_4,-3.375077994860476e-13
3699,thermal_lower,87,101_STEAM_4,-5.585061081511345
3700,transition,87,101_STEAM_4,167.55183244534004
3704,thermal_upper,88,101_STEAM_4,-2.204629374280794
3706,transition,88,101_STEAM_4,-3.126388037344441e-13
3709,minimum_down,88,101_STEAM_4,-167.55183244534004
3732,minimum_up,92,101_STEAM_4,-3.126388037344441e-13
3872,thermal_upper,116,101_STEAM_4,-1.3322676295501878e-15
3880,transition,117,101_STEAM_4,1.0125233984581428e-13
3968,thermal_upper,132,101_STEAM_4,-1.1102230246251565e-15
3976,transition,133,101_STEAM_4,8.43769498715119e-14
3982,transition,134,101_STEAM_4,8.43769498715119e-14
4010,thermal_upper,139,101_STEAM_4,-1.1102230246251565e-15
4018,transition,140,101_STEAM_4,8.43769498715119e-14
4024,transition,141,101_STEAM_4,8.43769498715119e-14
4108,transition,155,101_STEAM_4,5.670464098272921e-14
4120,transition,157,101_STEAM_4,5.329070518200751e-13
4124,thermal_upper,158,101_STEAM_4,-1.1102230246251565e-15
4126,transition,158,101_STEAM_4,5.329070518200751e-13
4132,transition,159,101_STEAM_4,6.17284001691587e-13
4138,transition,160,101_STEAM_4,6.17284001691587e-13
4144,transition,161,101_STEAM_4,1.9539925233402755e-13
4150,transition,162,101_STEAM_4,1.9539925233402755e-13
4168,transition,165,101_STEAM_4,-2.5716805339545e-13
4170,minimum_up,165,101_STEAM_4,-5.008995865501028e-14
4482,transition,50,102_CT_1,6.166822309906061e-14
4840,thermal_upper,110,102_CT_1,-2.6645352591003757e-15
5498,transition,52,102_CT_2,2.1316282072803006e-13
5546,transition,60,102_CT_2,2.1316282072803006e-13
5714,transition,88,102_CT_2,2.1316282072803006e-13
5762,transition,96,102_CT_2,1.9734271477298928e-13
7082,thermal_upper,149,102_STEAM_3,-2.641232446442234
7522,thermal_upper,55,102_STEAM_4,-1.0425917551745665
7529,thermal_lower,56,102_STEAM_4,-2.6412324464422348
7530,transition,56,102_STEAM_4,79.23697339326705
7546,thermal_upper,59,102_STEAM_4,-1.0425917551745665
7551,minimum_down,59,102_STEAM_4,-79.23697339326705
7678,thermal_upper,81,102_STEAM_4,-1.042591755174566
7685,thermal_lower,82,102_STEAM_4,-2.641232446442234
7686,transition,82,102_STEAM_4,79.23697339326702
7702,thermal_upper,85,102_STEAM_4,-1.042591755174566
7707,minimum_down,85,102_STEAM_4,-79.23697339326702
8292,thermal_upper,16,107_CC_1,-1.1102230246251565e-15
8300,transition,17,107_CC_1,3.9412917374193057e-13
8306,transition,18,107_CC_1,1.5765166949677223e-13
8406,thermal_upper,35,107_CC_1,-1.2084230330004522e-15
8408,transition,35,107_CC_1,-6.31771288275698e-13
8414,transition,36,107_CC_1,-2.027811115605375e-13
8418,thermal_upper,37,107_CC_1,-2.9694683134720234e-15
8420,transition,37,107_CC_1,-3.228055296096678e-13
8426,transition,38,107_CC_1,7.313557216729005e-13
8432,transition,39,107_CC_1,-6.090333599893518e-13
8438,transition,40,107_CC_1,-6.090333599893518e-13
8444,transition,41,107_CC_1,1.1823875212257917e-12
8452,minimum_up,42,107_CC_1,-6.31771288275698e-13
8454,thermal_upper,43,107_CC_1,-8.881784197001252e-16
8456,transition,43,107_CC_1,1.1368683772161603e-13
8461,thermal_lower,44,107_CC_1,-7.060259885242957e-16
8464,minimum_up,44,107_CC_1,-1.2002441804913028e-13
8474,transition,46,107_CC_1,-6.821210263296962e-13
8476,minimum_up,46,107_CC_1,-1.1387848764340684e-12
8479,thermal_lower,47,107_CC_1,-6.661338147750939e-16
8480,transition,47,107_CC_1,4.566638501043722e-13
8485,thermal_lower,48,107_CC_1,-5.585061081511344
8486,transition,48,107_CC_1,1.226353438139199e-13
8492,transition,49,107_CC_1,-949.4603838569302
8496,thermal_upper,50,107_CC_1,-2.6745362925547265
8498,transition,50,107_CC_1,-949.4603838569276
8503,thermal_lower,51,107_CC_1,-5.585061081511345
8504,transition,51,107_CC_1,1.2505552149377763e-12
8508,thermal_upper,52,107_CC_1,-2.674536292554725
8510,transition,52,107_CC_1,-949.4603838569274
8522,transition,54,107_CC_1,2.9558577807620168e-12
8527,thermal_lower,55,107_CC_1,-1.110197444995425
8533,thermal_lower,56,107_CC_1,-8.22629352795358
8534,transition,56,107_CC_1,-188.73356564922227
8536,minimum_up,56,107_CC_1,-949.4603838569303
8540,transition,57,107_CC_1,-637.7430815444006
8545,thermal_lower,58,107_CC_1,-1.8336311900736884
8546,transition,58,107_CC_1,-637.7430815444006
8552,transition,59,107_CC_1,-949.4603838569276
8556,thermal_upper,60,107_CC_1,-2.6745362925547256
8558,transition,60,107_CC_1,-949.4603838569277
8563,thermal_lower,61,107_CC_1,-5.585061081511345
8564,transition,61,107_CC_1,-1.1368683772161603e-13
8566,minimum_up,61,107_CC_1,-949.4603838569274
8569,thermal_lower,62,107_CC_1,-5.585061081511345
8570,transition,62,107_CC_1,-1.3642420526593924e-12
8576,transition,63,107_CC_1,-949.46038385693
8582,transition,64,107_CC_1,-949.4603838569277
8586,thermal_upper,65,107_CC_1,-2.6745362925547256
8588,transition,65,107_CC_1,-949.4603838569277
8596,minimum_up,66,107_CC_1,-2.0963562194043729e-13
8605,thermal_lower,68,107_CC_1,-5.585061081511337
8608,minimum_up,68,107_CC_1,-949.4603838569273
8611,thermal_lower,69,107_CC_1,-5.585061081511362
8618,transition,70,107_CC_1,-949.4603838569315
8622,thermal_upper,71,107_CC_1,-2.6745362925547282
8624,transition,71,107_CC_1,-949.4603838569285
8632,minimum_up,72,107_CC_1,-2.2737367544323206e-13
8635,thermal_lower,73,107_CC_1,-5.585061081511345
8638,minimum_up,73,107_CC_1,-949.4603838569283
8641,thermal_lower,74,107_CC_1,-5.585061081511345
8642,transition,74,107_CC_1,-3.352975160502101e-13
8646,thermal_upper,75,107_CC_1,-0.9398138365478776
8648,transition,75,107_CC_1,-949.460383856929
8653,thermal_lower,76,107_CC_1,-5.585061081511345
8654,transition,76,107_CC_1,-615.8264718824324
8660,transition,77,107_CC_1,-1565.286855739361
8664,thermal_upper,78,107_CC_1,-2.6745362925547265
8666,transition,78,107_CC_1,-1565.286855739358
8670,thermal_upper,79,107_CC_1,-1.7347224560068422
8672,transition,79,107_CC_1,-615.8264718824302
8677,thermal_lower,80,107_CC_1,-5.585061081511345
8678,transition,80,107_CC_1,-1.1368683772161603e-12
8680,minimum_up,80,107_CC_1,-6.821210263296962e-13
8682,thermal_upper,81,107_CC_1,-2.6745362925547265
8684,transition,81,107_CC_1,-949.4603838569291
8689,thermal_lower,82,107_CC_1,-8.22629352795358
8690,transition,82,107_CC_1,-1.1368683772161603e-12
8692,minimum_up,82,107_CC_1,-949.4603838569283
8695,thermal_lower,83,107_CC_1,-5.585061081511345
8696,transition,83,107_CC_1,-449.0095158951815
8698,minimum_up,83,107_CC_1,-615.8264718824321
8702,transition,84,107_CC_1,-782.643427869677
8707,thermal_lower,85,107_CC_1,-4.884981308350689e-15
8708,transition,85,107_CC_1,-782.643427869677
8712,thermal_upper,86,107_CC_1,-2.204629374280794
8714,transition,86,107_CC_1,-782.6434278696807
8719,thermal_lower,87,107_CC_1,-5.585061081511345
8720,transition,87,107_CC_1,1.1368683772161603e-12
8724,thermal_upper,88,107_CC_1,-2.674536292554725
8726,transition,88,107_CC_1,-949.4603838569274
8737,thermal_lower,90,107_CC_1,-4.603784869821647
8740,minimum_up,90,107_CC_1,-782.64342786968
8749,thermal_lower,92,107_CC_1,-2.8149074017633557
8752,minimum_up,92,107_CC_1,-166.8169559872474
8756,transition,93,107_CC_1,-311.7173023125231
8761,thermal_lower,94,107_CC_1,-1.532107773982716e-14
8762,transition,94,107_CC_1,-311.7173023125231
8767,thermal_lower,95,107_CC_1,-3.75142989143766
8768,transition,95,107_CC_1,-311.7173023125257
8772,thermal_upper,96,107_CC_1,-2.674536292554727
8774,transition,96,107_CC_1,-949.4603838569279
8779,thermal_lower,97,107_CC_1,-5.585061081511346
8782,minimum_up,97,107_CC_1,-311.7173023125257
8785,thermal_lower,98,107_CC_1,-5.585061081511345
8786,transition,98,107_CC_1,-637.743081544403
8791,thermal_lower,99,107_CC_1,-1.833631190073684
8792,transition,99,107_CC_1,-1587.2034654013316
8796,thermal_upper,100,107_CC_1,-2.6745362925547265
8798,transition,100,107_CC_1,-1898.920767713858
8802,thermal_upper,101,107_CC_1,-2.6745362925547327
8804,transition,101,107_CC_1,-949.4603838569299
8810,transition,102,107_CC_1,2.3647750424515834e-13
8815,thermal_lower,103,107_CC_1,-5.585061081511345
8818,minimum_up,103,107_CC_1,-949.4603838569286
8827,thermal_lower,105,107_CC_1,-5.585061081511354
8830,minimum_up,105,107_CC_1,-949.4603838569302
8839,thermal_lower,107,107_CC_1,-5.585061081511345
8840,transition,107,107_CC_1,-2.3647750424515834e-13
8844,thermal_upper,108,107_CC_1,-2.674536292554732
8846,transition,108,107_CC_1,-949.4603838569298
8851,thermal_lower,109,107_CC_1,-5.585061081511341
8856,thermal_upper,110,107_CC_1,-2.67453629255473
8858,transition,110,107_CC_1,-949.4603838569292
